,gender,age,marital_status,job_position,credit_sum,credit_month,tariff_id,score_shk,education,living_region,monthly_income,credit_count,overdue_credit_count,open_account_flg,month_payment,payment_income_part
44340,F,51.0,WID,SPC,19570.0,6,1_6,0.377661,SCH,лняйбю,50000.0,5.0,0.0,0,3261.6666666666665,0.06523333333333332
28165,M,29.0,MAR,SPC,61979.0,6,1_44,0.324815,GRD,ъпнякюбяйюъ,50000.0,3.0,0.0,0,10329.833333333334,0.20659666666666668
88364,M,29.0,UNM,SPC,30647.0,10,1_1,0.492779,GRD,люпхищк,35000.0,3.0,0.0,0,3064.7,0.08756285714285714
151360,M,58.0,MAR,SPC,54158.0,10,1_1,0.358765,GRD,рюрюпярюм,49000.0,4.0,0.0,0,5415.8,0.1105265306122449
76586,M,32.0,MAR,SPC,19269.0,10,1_3,0.475891,SCH,оемгемяйюъ,30000.0,1.0,0.0,0,1926.9,0.06423000000000001
120639,F,28.0,MAR,SPC,14708.0,12,1_1,0.377444,GRD,юлспяйюъ,42000.0,3.0,0.0,0,1225.6666666666667,0.029182539682539685
105242,M,50.0,MAR,BIS,80350.0,24,1_9,0.328984,SCH,ярюбпнонкэяйхи,30000.0,1.0,0.0,0,3347.9166666666665,0.11159722222222222
72084,F,43.0,UNM,SPC,23139.0,10,1_6,0.357063,SCH,векъахмяйюъ,25000.0,1.0,0.0,0,2313.9,0.092556
148074,M,38.0,MAR,SPC,31145.45,12,1_1,0.519273,SCH,яюую/ъйсрхъ/,50000.0,0.0,0.0,0,2595.454166666667,0.051909083333333335
33194,M,21.0,UNM,SPC,20308.0,12,1_1,0.571807,SCH,яюуюкхмяйюъ,30000.0,0.0,0.0,1,1692.3333333333333,0.056411111111111106
129475,F,34.0,MAR,SPC,16839.0,10,1_32,0.477647,GRD,йнлх,25000.0,7.0,0.0,1,1683.9,0.067356
5400,F,49.0,DIV,SPC,13409.0,10,1_1,0.511049,SCH,ябепдкнбяйюъ,39000.0,1.0,0.0,0,1340.9,0.03438205128205128
39257,M,30.0,UNM,SPC,18508.0,18,1_1,0.501278,SCH,йпюямндюпяйхи,14500.0,0.0,0.0,0,1028.2222222222222,0.07091187739463602
164167,F,31.0,DIV,SPC,16507.0,10,1_32,0.479469,GRD,бнпнмефяйюъ,28400.0,0.0,0.0,1,1650.7,0.05812323943661972
39184,F,30.0,UNM,WOI,8644.0,8,1_5,0.611009,UGR,скэъмнбяйюъ,30000.0,1.0,0.0,1,1080.5,0.03601666666666667
129992,F,42.0,MAR,SPC,16208.0,10,1_1,0.337861,GRD,рюланбяйюъ,23000.0,1.0,0.0,0,1620.8,0.0704695652173913
4646,F,24.0,UNM,SPC,38180.0,18,1_1,0.547683,GRD,юлспяйюъ,26000.0,0.0,0.0,0,2121.1111111111113,0.08158119658119659
88771,M,58.0,MAR,SPC,3040.0,10,1_1,0.408648,GRD,мхфецнпндяйюъ,15000.0,2.0,0.0,0,304.0,0.020266666666666665
93201,M,34.0,MAR,SPC,46460.0,24,1_3,0.449669,SCH,йелепнбяйюъ,30000.0,1.0,0.0,0,1935.8333333333333,0.06452777777777778
139492,M,30.0,MAR,SPC,23421.0,10,1_1,0.254492,SCH,ябепдкнбяйюъ,25000.0,3.0,0.0,0,2342.1,0.09368399999999999
106664,M,30.0,MAR,WRK,15391.49,6,1_43,0.512525,SCH,йюпекхъ,50000.0,0.0,0.0,0,2565.2483333333334,0.05130496666666667
34116,F,45.0,UNM,SPC,43279.0,10,1_1,0.510394,GRD,юярпюуюмяйюъ,20000.0,3.0,0.0,0,4327.9,0.21639499999999998
125382,M,53.0,MAR,WOI,11230.0,12,1_4,0.296909,GRD,лняйнбяйюъ,60000.0,2.0,0.0,0,935.8333333333334,0.015597222222222222
103517,M,25.0,MAR,SPC,20179.0,12,1_1,0.382593,SCH,ябепдкнбяйюъ,60000.0,2.0,0.0,0,1681.5833333333333,0.02802638888888889
80405,M,40.0,MAR,SPC,35802.0,10,1_2,0.237933,GRD,яюмйр-оерепаспц,60000.0,2.0,0.0,0,3580.2,0.059669999999999994
34768,M,26.0,UNM,SPC,39990.0,10,1_1,0.475738,GRD,йелепнбяйюъ,25000.0,3.0,0.0,0,3999.0,0.15996
64103,F,41.0,DIV,SPC,30668.0,10,1_6,0.502233,GRD,векъахмяйюъ,30000.0,11.0,0.0,0,3066.8,0.10222666666666667
14847,F,40.0,MAR,SPC,14868.0,12,1_1,0.540323,SCH,яюпюрнбяйюъ,25000.0,-1.0,-1.0,0,1239.0,0.04956
108168,F,42.0,DIV,SPC,75578.0,18,1_1,0.515932,UGR,рчлемяйюъ,55000.0,3.0,0.0,1,4198.777777777777,0.07634141414141414
64411,M,49.0,MAR,SPC,20559.0,12,1_1,0.445091,SCH,юпуюмцекэяйюъ,40000.0,1.0,0.0,0,1713.25,0.04283125
103947,F,61.0,WID,PNA,15756.0,12,1_1,0.520045,SCH,оепляйхи,11000.0,1.0,0.0,1,1313.0,0.11936363636363637
151726,F,31.0,MAR,SPC,20457.0,10,1_16,0.283901,GRD,ярюбпнонкэяйхи,20000.0,3.0,0.0,0,2045.7,0.102285
71246,M,29.0,UNM,SPC,14560.0,10,1_6,0.603118,GRD,юкрюияйхи,27000.0,4.0,1.0,0,1456.0,0.053925925925925926
98851,F,32.0,UNM,SPC,25864.0,10,1_32,0.408936,SCH,хпйсряйюъ,25000.0,1.0,0.0,1,2586.4,0.103456
105002,F,38.0,CIV,SPC,65069.0,10,1_6,0.501632,SCH,лняйбю,45000.0,6.0,0.0,0,6506.9,0.14459777777777777
29083,M,35.0,MAR,SPC,6729.0,10,1_1,0.564768,SCH,хбюмнбяйюъ,35000.0,1.0,0.0,0,672.9,0.019225714285714283
49203,F,25.0,UNM,SPC,61859.7,10,1_19,0.424446,GRD,аюьйнпрнярюм,30000.0,1.0,0.0,0,6185.969999999999,0.20619899999999997
132231,M,26.0,MAR,SPC,53189.0,10,1_1,0.360338,SCH,йюксфяйюъ,30000.0,1.0,0.0,0,5318.9,0.17729666666666666
170123,M,54.0,MAR,DIR,17990.0,12,1_1,0.484538,GRD,кемхмцпюдяйюъ,45000.0,2.0,0.0,0,1499.1666666666667,0.03331481481481482
39333,F,23.0,UNM,SPC,22990.0,10,1_6,0.705004,GRD,рюрюпярюм,32000.0,1.0,0.0,0,2299.0,0.07184375
6775,M,25.0,UNM,SPC,51980.0,12,1_5,0.548241,SCH,кемхмцпюдяйюъ,29500.0,1.0,0.0,0,4331.666666666667,0.1468361581920904
37835,F,35.0,UNM,DIR,21019.0,10,1_1,0.26036,GRD,аюьйнпрнярюм,40000.0,-1.0,-1.0,0,2101.9,0.052547500000000004
106835,F,48.0,UNM,SPC,74589.0,10,1_1,0.304229,GRD,йюксфяйюъ,30000.0,1.0,0.0,0,7458.9,0.24863
80361,F,34.0,MAR,SPC,11039.0,10,1_43,0.64053,GRD,лняйнбяйюъ,35000.0,-1.0,-1.0,0,1103.9,0.031540000000000006
78451,M,26.0,UNM,SPC,18990.0,10,1_6,0.606032,GRD,уюмрш-люмяхияйхи,40000.0,0.0,0.0,0,1899.0,0.047475
67578,M,31.0,MAR,SPC,27360.0,10,1_2,0.384972,SCH,лняйнбяйюъ,35000.0,3.0,0.0,0,2736.0,0.07817142857142857
134709,M,22.0,UNM,SPC,33259.09,12,1_6,0.720294,SCH,рюрюпярюм,35000.0,0.0,0.0,0,2771.590833333333,0.07918830952380952
106175,M,26.0,UNM,UMN,18633.0,10,1_32,0.503677,UGR,кемхмцпюдяйюъ,40000.0,0.0,0.0,0,1863.3,0.0465825
68749,M,21.0,UNM,SPC,27530.0,12,1_1,0.482857,SCH,лсплюмяйюъ,30000.0,-1.0,-1.0,1,2294.1666666666665,0.07647222222222222
26879,F,26.0,UNM,SPC,29990.0,10,1_5,0.439322,GRD,бнкнцндяйюъ,30000.0,5.0,0.0,0,2999.0,0.09996666666666666
94578,F,23.0,UNM,SPC,26990.0,10,1_44,0.428641,GRD,яюлюпяйюъ,30000.0,3.0,0.0,0,2699.0,0.08996666666666667
87971,F,30.0,MAR,SPC,15270.0,10,1_1,0.411662,GRD,йпюямндюпяйхи,35000.0,6.0,0.0,0,1527.0,0.043628571428571426
95637,F,30.0,UNM,BIS,23300.0,10,1_32,0.483381,GRD,люпхищк,30000.0,0.0,0.0,0,2330.0,0.07766666666666666
122130,M,40.0,MAR,SPC,20390.0,14,1_9,0.313096,SCH,бнкнцндяйюъ,35000.0,6.0,0.0,0,1456.4285714285713,0.04161224489795918
57790,F,25.0,DIV,BIS,20788.0,12,1_1,0.418197,SCH,ълюкн-мемежйхи,40000.0,3.0,0.0,0,1732.3333333333333,0.04330833333333333
45997,F,37.0,DIV,SPC,9328.0,10,1_1,0.434974,SCH,уюаюпнбяйхи,26000.0,4.0,0.0,0,932.8,0.03587692307692308
146567,F,33.0,DIV,SPC,24990.0,24,1_4,0.61282,SCH,мхфецнпндяйюъ,25000.0,3.0,1.0,1,1041.25,0.04165
19484,F,35.0,MAR,SPC,25049.0,10,1_32,0.514267,GRD,бкюдхлхпяйюъ,40000.0,0.0,0.0,1,2504.9,0.0626225
72804,F,24.0,UNM,SPC,23958.0,12,1_1,0.498147,GRD,нпемаспцяйюъ,25000.0,1.0,0.0,1,1996.5,0.07986
114387,M,25.0,UNM,UMN,35159.0,10,1_1,0.299762,UGR,йюпювюебн-вепйеяяйюъ,45000.0,2.0,0.0,0,3515.9,0.07813111111111111
97827,F,55.0,CIV,SPC,30079.0,10,1_94,0.515695,SCH,оепляйхи,45000.0,7.0,0.0,1,3007.9,0.06684222222222222
158859,F,28.0,UNM,SPC,31990.0,12,1_9,0.376575,SCH,бнкнцндяйюъ,20000.0,2.0,0.0,0,2665.8333333333335,0.13329166666666667
146301,M,26.0,CIV,SPC,22032.0,12,1_17,0.590361,GRD,яюлюпяйюъ,25000.0,1.0,0.0,0,1836.0,0.07344
13921,F,40.0,MAR,SPC,20068.0,12,1_1,0.322906,SCH,йелепнбяйюъ,25800.0,2.0,0.0,0,1672.3333333333333,0.06481912144702842
112291,F,24.0,MAR,SPC,22790.0,6,1_4,0.499147,SCH,аекцнпндяйюъ,30000.0,0.0,0.0,0,3798.3333333333335,0.12661111111111112
44757,M,34.0,MAR,SPC,44407.0,10,1_32,0.448499,GRD,аюьйнпрнярюм,55000.0,4.0,0.0,1,4440.7,0.08073999999999999
109828,M,25.0,UNM,SPC,18089.0,10,1_1,0.499574,GRD,рюрюпярюм,35000.0,1.0,0.0,1,1808.9,0.05168285714285715
116147,F,55.0,MAR,PNA,20667.0,10,1_32,0.376467,SCH,хпйсряйюъ,12600.0,1.0,0.0,1,2066.7,0.16402380952380952
163622,F,28.0,MAR,SPC,27988.0,10,1_4,0.398352,GRD,оепляйхи,50000.0,2.0,0.0,0,2798.8,0.055976000000000005
116602,F,28.0,UNM,SPC,14928.0,12,1_6,0.645817,SCH,опхлнпяйхи,17000.0,-1.0,-1.0,0,1244.0,0.07317647058823529
111203,M,39.0,MAR,SPC,34580.7,10,1_21,0.282232,GRD,яюмйр-оерепаспц,70000.0,2.0,0.0,0,3458.0699999999997,0.049400999999999994
75317,M,26.0,UNM,SPC,29685.0,11,1_3,0.550924,GRD,яюпюрнбяйюъ,26000.0,4.0,1.0,0,2698.6363636363635,0.1037937062937063
46311,F,33.0,MAR,SPC,15401.22,12,1_1,0.388161,GRD,йелепнбяйюъ,20000.0,1.0,0.0,0,1283.435,0.06417175
92996,M,26.0,UNM,SPC,25039.0,10,1_1,0.409992,SCH,лняйнбяйюъ,55000.0,4.0,0.0,0,2503.9,0.04552545454545455
162937,M,24.0,UNM,SPC,24434.0,10,1_32,0.412659,SCH,оепляйхи,25000.0,1.0,0.0,0,2443.4,0.097736
140408,F,63.0,DIV,SPC,7619.0,6,1_1,0.437591,SCH,бкюдхлхпяйюъ,36000.0,3.0,0.0,0,1269.8333333333333,0.035273148148148144
120919,M,49.0,MAR,SPC,11619.0,10,1_1,0.463795,SCH,нляйюъ,31000.0,3.0,0.0,0,1161.9,0.03748064516129033
146664,F,25.0,MAR,SPC,26338.0,10,1_6,0.526913,GRD,всбюьяйюъ,17000.0,1.0,0.0,0,2633.8,0.1549294117647059
61097,M,24.0,UNM,SPC,30659.0,10,1_5,0.457403,GRD,лняйбю,37000.0,0.0,0.0,0,3065.9,0.08286216216216216
17350,M,40.0,MAR,SPC,57179.0,12,1_1,0.414925,SCH,уюмрш-люмяхияйхи,50000.0,2.0,0.0,0,4764.916666666667,0.09529833333333335
21046,F,20.0,UNM,SPC,44287.0,12,1_3,0.54165,SCH,лняйбю,34500.0,-1.0,-1.0,1,3690.5833333333335,0.10697342995169083
74898,M,39.0,DIV,SPC,38809.1,12,1_6,0.586015,SCH,нпкнбяйюъ,40000.0,4.0,0.0,1,3234.0916666666667,0.08085229166666667
109229,F,64.0,DIV,PNA,11459.0,18,1_1,0.55438,SCH,векъахмяйюъ,11000.0,0.0,0.0,1,636.6111111111111,0.05787373737373737
167399,M,32.0,UNM,PNA,8467.0,4,1_4,0.154571,GRD,йпюямндюпяйхи,50000.0,1.0,0.0,1,2116.75,0.042335
15307,F,45.0,DIV,SPC,27678.0,12,1_6,0.691697,SCH,векъахмяйюъ,32000.0,0.0,0.0,0,2306.5,0.072078125
17520,F,36.0,MAR,SPC,13558.0,10,1_6,0.549199,GRD,бнпнмефяйюъ,22000.0,2.0,0.0,0,1355.8,0.061627272727272725
94799,M,57.0,MAR,SPC,17579.0,12,1_43,0.611614,SCH,бнпнмефяйюъ,19000.0,1.0,1.0,0,1464.9166666666667,0.07710087719298246
133531,F,39.0,UNM,SPC,35968.0,10,1_4,0.526387,SCH,юпуюмцекэяйюъ,25000.0,0.0,0.0,0,3596.8,0.143872
168751,F,30.0,MAR,SPC,43812.0,12,1_0,0.37663,GRD,яюмйр-оерепаспц,42000.0,1.0,0.0,0,3651.0,0.08692857142857142
24690,F,61.0,UNM,UMN,30387.0,12,1_3,0.41931,GRD,юпуюмцекэяйюъ,42200.0,3.0,0.0,0,2532.25,0.060005924170616114
96029,M,40.0,DIV,SPC,19538.0,10,1_6,0.665602,SCH,опхлнпяйхи,33000.0,0.0,0.0,1,1953.8,0.0592060606060606
138326,F,29.0,MAR,SPC,20488.0,10,1_32,0.545226,SCH,рчлемяйюъ,20000.0,2.0,0.0,0,2048.8,0.10244
79015,F,54.0,UNM,UMN,38508.0,18,1_1,0.394881,GRD,лняйнбяйюъ,59000.0,2.0,0.0,1,2139.3333333333335,0.03625988700564972
63898,M,37.0,MAR,SPC,29978.0,10,1_32,0.468964,SCH,лняйнбяйюъ,110000.0,3.0,1.0,1,2997.8,0.027252727272727276
84781,F,32.0,MAR,SPC,24308.0,12,1_6,0.691369,SCH,оепляйхи,30000.0,0.0,0.0,0,2025.6666666666667,0.06752222222222222
125965,F,39.0,DIV,SPC,15454.44,10,1_6,0.545475,SCH,оемгемяйюъ,18000.0,0.0,0.0,0,1545.444,0.085858
17235,M,28.0,MAR,SPC,18538.0,6,1_1,0.541965,SCH,лняйнбяйюъ,30000.0,1.0,0.0,1,3089.6666666666665,0.10298888888888888
170739,F,32.0,MAR,SPC,15282.0,10,1_16,0.514811,GRD,яюлюпяйюъ,25000.0,2.0,0.0,0,1528.2,0.061128
43923,M,34.0,MAR,SPC,32535.0,12,1_17,0.602528,SCH,юярпюуюмяйюъ,45000.0,2.0,0.0,0,2711.25,0.06025
120816,F,35.0,MAR,SPC,20585.0,10,1_32,0.367775,GRD,ябепдкнбяйюъ,32000.0,-1.0,-1.0,1,2058.5,0.064328125
29756,M,26.0,UNM,SPC,35814.64,12,1_6,0.582498,SCH,скэъмнбяйюъ,35000.0,1.0,0.0,0,2984.5533333333333,0.08527295238095238
147728,F,28.0,MAR,SPC,19502.0,12,1_17,0.579319,GRD,юярпюуюмяйюъ,25000.0,0.0,0.0,0,1625.1666666666667,0.06500666666666667
15134,M,50.0,MAR,DIR,26988.0,12,1_1,0.462599,SCH,йпюямндюпяйхи,80000.0,5.0,0.0,1,2249.0,0.0281125
1550,M,56.0,MAR,PNA,23547.0,18,1_1,0.358121,SCH,лнпднбхъ,27000.0,1.0,0.0,1,1308.1666666666667,0.04845061728395062
119307,F,44.0,MAR,SPC,16199.0,10,1_5,0.557925,SCH,оепляйхи,20000.0,2.0,0.0,0,1619.9,0.08099500000000001
109781,M,23.0,UNM,SPC,17870.0,24,1_1,0.286705,SCH,рчлемяйюъ,70000.0,5.0,0.0,1,744.5833333333334,0.010636904761904762
133274,F,60.0,MAR,SPC,16076.67,10,1_5,0.363226,SCH,рюрюпярюм,30000.0,3.0,0.0,0,1607.667,0.053588899999999995
93464,M,21.0,UNM,ATP,16103.0,10,1_1,0.471147,SCH,хпйсряйюъ,25000.0,-1.0,-1.0,1,1610.3,0.064412
5805,F,54.0,DIV,SPC,14949.0,10,1_1,0.380514,SCH,юкрюияйхи,21000.0,1.0,0.0,0,1494.9,0.0711857142857143
85693,F,56.0,MAR,SPC,43715.7,24,1_5,0.538833,SCH,яюмйр-оерепаспц,27000.0,1.0,0.0,0,1821.4875,0.0674625
88445,F,24.0,UNM,SPC,38034.0,12,1_17,0.453231,PGR,лняйнбяйюъ,100000.0,0.0,0.0,0,3169.5,0.031695
86075,M,35.0,DIV,SPC,23336.0,10,1_32,0.475584,SCH,пнярнбяйюъ,29000.0,0.0,0.0,0,2333.6,0.08046896551724138
123299,M,49.0,MAR,SPC,8079.0,10,1_1,0.431626,SCH,йпюямндюпяйхи,30000.0,3.0,0.0,1,807.9,0.02693
75306,M,34.0,MAR,SPC,25479.0,10,1_6,0.525266,SCH,йпюямнъпяйхи,100000.0,1.0,0.0,0,2547.9,0.025479
81173,M,27.0,MAR,UMN,10469.0,10,1_6,0.692526,SCH,ояйнбяйюъ,33000.0,2.0,0.0,1,1046.9,0.031724242424242426
4050,M,30.0,MAR,SPC,15187.0,6,1_6,0.540798,SCH,йпюямндюпяйхи,40000.0,4.0,1.0,0,2531.1666666666665,0.06327916666666666
87725,M,32.0,UNM,SPC,17018.0,10,1_6,0.684253,SCH,апъмяйюъ,45000.0,2.0,0.0,1,1701.8,0.03781777777777778
165304,F,21.0,UNM,UMN,23631.0,10,1_32,0.430872,UGR,лняйбю,40000.0,-1.0,-1.0,1,2363.1,0.0590775
17096,M,48.0,MAR,DIR,122400.0,10,1_4,0.219315,GRD,лняйбю,180000.0,5.0,0.0,1,12240.0,0.068
94587,M,45.0,DIV,SPC,14422.83,8,1_1,0.268312,SCH,лняйнбяйюъ,50000.0,1.0,0.0,0,1802.85375,0.036057075
116472,M,33.0,MAR,SPC,8790.0,6,1_5,0.218456,GRD,яюлюпяйюъ,40000.0,5.0,0.0,0,1465.0,0.036625
92066,F,60.0,WID,PNA,13168.0,10,1_43,0.591881,SCH,йелепнбяйюъ,11000.0,0.0,0.0,0,1316.8,0.1197090909090909
136211,M,53.0,MAR,SPC,8018.0,10,1_1,0.519407,SCH,хпйсряйюъ,25000.0,0.0,0.0,1,801.8,0.032071999999999996
45926,F,23.0,DIV,SPC,5329.0,6,1_1,0.590028,SCH,кемхмцпюдяйюъ,37000.0,3.0,0.0,0,888.1666666666666,0.024004504504504504
154238,M,24.0,UNM,SPC,23059.0,10,1_6,0.573808,SCH,яюмйр-оерепаспц,35000.0,0.0,0.0,0,2305.9,0.06588285714285715
146151,M,34.0,MAR,SPC,12469.0,12,1_3,0.427475,GRD,мхфецнпндяйюъ,37000.0,0.0,0.0,0,1039.0833333333333,0.02808333333333333
35483,M,30.0,MAR,SPC,53189.0,10,1_6,0.50025,SCH,лняйбю,80000.0,3.0,0.0,0,5318.9,0.06648625
34892,F,36.0,WID,SPC,23348.0,12,1_1,0.408696,SCH,йпюямнъпяйхи,40000.0,3.0,0.0,0,1945.6666666666667,0.048641666666666666
18109,F,33.0,DIV,UMN,18305.1,12,1_6,0.747632,GRD,йпюямндюпяйхи,38000.0,2.0,1.0,0,1525.425,0.04014276315789474
15815,F,48.0,UNM,SPC,20690.0,12,1_1,0.568744,SCH,яюпюрнбяйюъ,40000.0,0.0,0.0,0,1724.1666666666667,0.043104166666666666
167567,F,60.0,MAR,SPC,7678.0,10,1_1,0.437461,SCH,юярпюуюмяйюъ,35000.0,5.0,0.0,0,767.8,0.021937142857142856
68428,F,32.0,MAR,SPC,14868.0,10,1_1,0.45512,SCH,ябепдкнбяйюъ,20000.0,1.0,0.0,0,1486.8,0.07434
14658,F,31.0,DIV,UMN,8738.0,10,1_1,0.540102,SCH,аспърхъ,33400.0,5.0,0.0,0,873.8,0.026161676646706586
155928,M,26.0,MAR,ATP,14860.0,10,1_1,0.375867,SCH,йпюямнъпяйхи,28000.0,2.0,0.0,0,1486.0,0.05307142857142857
59635,M,43.0,MAR,UMN,23990.0,3,1_1,0.256438,GRD,векъахмяйюъ,50000.0,2.0,1.0,1,7996.666666666667,0.15993333333333334
57107,F,34.0,MAR,SPC,19805.68,12,1_6,0.603011,UGR,яюмйр-оерепаспц,45000.0,0.0,0.0,0,1650.4733333333334,0.03667718518518519
9269,M,24.0,UNM,SPC,57158.0,10,1_44,0.571778,SCH,бнкцнцпюдяйюъ,30000.0,1.0,0.0,0,5715.8,0.19052666666666668
162095,F,34.0,MAR,SPC,39970.0,6,1_5,0.244093,GRD,яюмйр-оерепаспц,30000.0,0.0,0.0,0,6661.666666666667,0.22205555555555556
34664,F,31.0,DIV,SPC,28740.0,12,1_1,0.429714,SCH,лняйнбяйюъ,32000.0,2.0,0.0,0,2395.0,0.07484375
86780,F,30.0,MAR,SPC,11170.0,10,1_6,0.563344,SCH,кемхмцпюдяйюъ,38000.0,2.0,0.0,1,1117.0,0.02939473684210526
24337,M,23.0,UNM,SPC,22964.44,10,1_6,0.668715,SCH,всбюьяйюъ,20000.0,-1.0,-1.0,0,2296.444,0.1148222
51202,M,46.0,UNM,SPC,8968.0,10,1_1,0.482408,SCH,оепляйхи,25000.0,2.0,0.0,1,896.8,0.035872
167451,F,26.0,CIV,NOR,24354.12,10,1_32,0.393459,SCH,гюаюийюкэяйхи,40000.0,2.0,0.0,0,2435.412,0.060885299999999996
162241,F,51.0,DIV,SPC,28977.0,10,1_32,0.283735,GRD,лняйбю,49000.0,1.0,0.0,0,2897.7,0.05913673469387755
85309,F,36.0,UNM,SPC,24345.0,10,1_32,0.265211,GRD,мхфецнпндяйюъ,35000.0,1.0,0.0,0,2434.5,0.06955714285714286
145364,F,35.0,UNM,UMN,5689.69,3,1_1,0.389509,GRD,йпюямндюпяйхи,40000.0,1.0,0.0,0,1896.5633333333333,0.04741408333333333
59042,M,33.0,UNM,SPC,43579.0,10,1_1,0.327715,GRD,рюрюпярюм,46000.0,1.0,0.0,0,4357.9,0.09473695652173912
92364,F,56.0,MAR,SPC,5389.0,10,1_1,0.377281,SCH,ябепдкнбяйюъ,26000.0,3.0,0.0,0,538.9,0.020726923076923077
169452,M,33.0,MAR,SPC,6890.0,6,1_2,0.191376,SCH,яюлюпяйюъ,31800.0,1.0,0.0,1,1148.3333333333333,0.03611111111111111
70239,M,34.0,MAR,UMN,18769.0,10,1_6,0.642511,SCH,пнярнбяйюъ,25000.0,0.0,0.0,0,1876.9,0.075076
132258,F,30.0,DIV,SPC,38168.0,12,1_1,0.528748,GRD,ълюкн-мемежйхи,100000.0,6.0,0.0,0,3180.6666666666665,0.031806666666666664
146365,M,28.0,UNM,SPC,16770.0,10,1_1,0.317988,SCH,лняйнбяйюъ,38000.0,1.0,0.0,0,1677.0,0.044131578947368424
159366,F,34.0,MAR,SPC,53189.0,10,1_6,0.718192,GRD,скэъмнбяйюъ,45000.0,1.0,0.0,0,5318.9,0.11819777777777778
54751,M,38.0,MAR,SPC,13459.0,12,1_7,0.633287,SCH,пъгюмяйюъ,35000.0,3.0,1.0,0,1121.5833333333333,0.03204523809523809
17397,F,37.0,UNM,SPC,20241.9,12,1_24,0.34566,GRD,юярпюуюмяйюъ,35000.0,3.0,0.0,0,1686.825,0.048195
50116,F,31.0,MAR,UMN,19847.0,12,1_6,0.764246,GRD,ъпнякюбяйюъ,22000.0,1.0,0.0,0,1653.9166666666667,0.0751780303030303
118458,F,28.0,UNM,SPC,35819.0,10,1_6,0.737558,SCH,уюаюпнбяйхи,45000.0,-1.0,-1.0,0,3581.9,0.07959777777777778
159320,M,27.0,UNM,SPC,18937.0,10,1_32,0.505745,UGR,йнлх,43000.0,1.0,0.0,1,1893.7,0.04403953488372093
16853,M,50.0,DIV,SPC,31589.0,12,1_6,0.638195,SCH,яюмйр-оерепаспц,35000.0,3.0,0.0,0,2632.4166666666665,0.07521190476190476
